identifier,taxon_of_interest,family,genus,species,Fragment,Scoloptoxin?
NCBI|THAEL_XM_032222748.1_26_265|Thamnophis_elegans,Colubridae,Colubridae,Thamnophis,Thamnophis elegans,full_seq (SP),
NCBI|Tele_NC_045548_1_gene_1_mRNA_15_mka|Thamnophis_elegans,Colubridae,Colubridae,Thamnophis,Thamnophis elegans,mature_seq (NO_SP),
NCBI|Tele_rna_XM_032222667_1_mka|Thamnophis_elegans,Colubridae,Colubridae,Thamnophis,Thamnophis elegans,full_seq (SP),
NCBI|THAEL_XR_004255865.1_31_267|Thamnophis_elegans,Colubridae,Colubridae,Thamnophis,Thamnophis elegans,mature_seq (NO_SP),
NCBI|THASI_GDKU01029485.1_88_309|Thamnophis_sirtalis,Colubridae,Colubridae,Thamnophis,Thamnophis sirtalis,mature_seq (NO_SP),
None|Thelotornis_mossambicanus_3FTx_01|Thelotornis_mossambicanus,Colubridae,Colubridae,Thelotornis,Thelotornis mossambicanus,mature_seq (NO_SP),
None|Thelotornis_mossambicanus_3FTx_04|Thelotornis_mossambicanus,Colubridae,Colubridae,Thelotornis,Thelotornis mossambicanus,mature_seq (NO_SP),
TR|A0A646QBR0|Thelotornis_mossambicanus,Colubridae,Colubridae,Thelotornis,Thelotornis mossambicanus,mature_seq (NO_SP),
TR|A0A646QDR7|Thelotornis_mossambicanus,Colubridae,Colubridae,Thelotornis,Thelotornis mossambicanus,mature_seq (NO_SP),
None|Thelotornis_mossambicanus_3FTx_05|Thelotornis_mossambicanus,Colubridae,Colubridae,Thelotornis,Thelotornis mossambicanus,mature_seq (NO_SP),
None|Thelotornis_mossambicanus_3FTx_06|Thelotornis_mossambicanus,Colubridae,Colubridae,Thelotornis,Thelotornis mossambicanus,mature_seq (NO_SP),
None|Thelotornis_mossambicanus_3FTx_08|Thelotornis_mossambicanus,Colubridae,Colubridae,Thelotornis,Thelotornis mossambicanus,mature_seq (NO_SP),
None|Thelotornis_mossambicanus_3FTx_09|Thelotornis_mossambicanus,Colubridae,Colubridae,Thelotornis,Thelotornis mossambicanus,mature_seq (NO_SP),
None|Thelotornis_mossambicanus_3FTx_11|Thelotornis_mossambicanus,Colubridae,Colubridae,Thelotornis,Thelotornis mossambicanus,mature_seq (NO_SP),
None|Thelotornis_mossambicanus_3FTx_15|Thelotornis_mossambicanus,Colubridae,Colubridae,Thelotornis,Thelotornis mossambicanus,mature_seq (NO_SP),
SP|A7X6I4|Thrasops_jacksonii,Colubridae,Colubridae,Thrasops,Thrasops jacksonii,full_seq (SP),
TR|A7X3T6|Thrasops_jacksonii,Colubridae,Colubridae,Thrasops,Thrasops jacksonii,full_seq (SP),
TR|A7X3U4|Thrasops_jacksonii,Colubridae,Colubridae,Thrasops,Thrasops jacksonii,full_seq (SP),
TR|A7X3U7|Thrasops_jacksonii,Colubridae,Colubridae,Thrasops,Thrasops jacksonii,full_seq (SP),
NCBI|TREVA_GGQZ01007816.1_20_253|Tretanorhinus_variabilis,Colubridae,Colubridae,Tretanorhinus,Tretanorhinus variabilis,mature_seq (NO_SP),
SP|A7X3S2|Trimorphodon_biscutatus,Colubridae,Colubridae,Trimorphodon,Trimorphodon biscutatus,full_seq (SP),
SP|A7X3S0|Trimorphodon_biscutatus,Colubridae,Colubridae,Trimorphodon,Trimorphodon biscutatus,full_seq (SP),
TR|A7X3Q9|Trimorphodon_biscutatus,Colubridae,Colubridae,Trimorphodon,Trimorphodon biscutatus,full_seq (SP),
TR|A0A193CHM1|Trimorphodon_lambda,Colubridae,Colubridae,Trimorphodon,Trimorphodon lambda,full_seq (SP),
TR|A0A193CHM4|Trimorphodon_lambda,Colubridae,Colubridae,Trimorphodon,Trimorphodon lambda,full_seq (SP),
TR|A0A193CHM5|Trimorphodon_lambda,Colubridae,Colubridae,Trimorphodon,Trimorphodon lambda,full_seq (SP),
NCBI|XENME_JZ904769.1_12_257|Xenodon_merremii,Colubridae,Colubridae,Xenodon,Xenodon merremii,mature_seq (NO_SP),
NCBI|XENME_JZ904948.1_7_246|Xenodon_merremii,Colubridae,Colubridae,Xenodon,Xenodon merremii,mature_seq (NO_SP),
NCBI|XENME_JZ904898.1_10_261|Xenodon_merremii,Colubridae,Colubridae,Xenodon,Xenodon merremii,mature_seq (NO_SP),
SP|P01385|Acanthophis_antarcticus,Elapidae,Elapidae,Acanthophis,Acanthophis antarcticus,mature_seq (NO_SP),
SP|P0DKW9|Acanthophis_antarcticus,Elapidae,Elapidae,Acanthophis,Acanthophis antarcticus,mature_seq (NO_SP),
SP|P34073|Acanthophis_antarcticus,Elapidae,Elapidae,Acanthophis,Acanthophis antarcticus,mature_seq (NO_SP),
SP|P01434|Acanthophis_antarcticus,Elapidae,Elapidae,Acanthophis,Acanthophis antarcticus,mature_seq (NO_SP),
TR|R4FI70|Acanthophis_wellsi,Elapidae,Elapidae,Acanthophis,Acanthophis wellsi,full_seq (SP),
TR|R4FI75|Acanthophis_wellsi,Elapidae,Elapidae,Acanthophis,Acanthophis wellsi,full_seq (SP),
TR|R4G2D8|Acanthophis_wellsi,Elapidae,Elapidae,Acanthophis,Acanthophis wellsi,full_seq (SP),
TR|R4G2D9|Acanthophis_wellsi,Elapidae,Elapidae,Acanthophis,Acanthophis wellsi,full_seq (SP),
TR|R4G2P6|Acanthophis_wellsi,Elapidae,Elapidae,Acanthophis,Acanthophis wellsi,full_seq (SP),
TR|R4G7E7|Acanthophis_wellsi,Elapidae,Elapidae,Acanthophis,Acanthophis wellsi,full_seq (SP),
TR|R4G7E8|Acanthophis_wellsi,Elapidae,Elapidae,Acanthophis,Acanthophis wellsi,full_seq (SP),
TR|R4G2D7|Acanthophis_wellsi,Elapidae,Elapidae,Acanthophis,Acanthophis wellsi,full_seq (SP),
TR|R4G2P2|Acanthophis_wellsi,Elapidae,Elapidae,Acanthophis,Acanthophis wellsi,full_seq (SP),
SP|P19958|Aipysurus_laevis,Elapidae,Elapidae,Aipysurus,Aipysurus laevis,mature_seq (NO_SP),
SP|P19959|Aipysurus_laevis,Elapidae,Elapidae,Aipysurus,Aipysurus laevis,full_seq (SP),
SP|P19960|Aipysurus_laevis,Elapidae,Elapidae,Aipysurus,Aipysurus laevis,full_seq (SP),
SP|P32879|Aipysurus_laevis,Elapidae,Elapidae,Aipysurus,Aipysurus laevis,mature_seq (NO_SP),
NCBI|ASPSC_GHOC01000120.1_C395_189|Aspidelaps_scutatus,Elapidae,Elapidae,Aspidelaps,Aspidelaps scutatus,mature_seq (NO_SP),
NCBI|ASPSC_GHOC01000728.1_C419_201|Aspidelaps_scutatus,Elapidae,Elapidae,Aspidelaps,Aspidelaps scutatus,mature_seq (NO_SP),
NCBI|ASPSC_GHOC01001452.1_C395_195|Aspidelaps_scutatus,Elapidae,Elapidae,Aspidelaps,Aspidelaps scutatus,mature_seq (NO_SP),
NCBI|ASPSC_GHOC01002482.1_C199_2|Aspidelaps_scutatus,Elapidae,Elapidae,Aspidelaps,Aspidelaps scutatus,mature_seq (NO_SP),
SP|P25670|Aspidelaps_scutatus,Elapidae,Elapidae,Aspidelaps,Aspidelaps scutatus,mature_seq (NO_SP),
NCBI|ASPSC_GHOC01002299.1_C248_45|Aspidelaps_scutatus,Elapidae,Elapidae,Aspidelaps,Aspidelaps scutatus,mature_seq (NO_SP),
NCBI|ASPSC_GHOC01000043.1_C425_180|Aspidelaps_scutatus,Elapidae,Elapidae,Aspidelaps,Aspidelaps scutatus,mature_seq (NO_SP),
NCBI|ASPSC_GHOC01000196.1_C418_209|Aspidelaps_scutatus,Elapidae,Elapidae,Aspidelaps,Aspidelaps scutatus,mature_seq (NO_SP),
NCBI|ASPSC_GHOC01000373.1_C401_153|Aspidelaps_scutatus,Elapidae,Elapidae,Aspidelaps,Aspidelaps scutatus,mature_seq (NO_SP),
NCBI|ASPSC_GHOC01000507.1_C460_218|Aspidelaps_scutatus,Elapidae,Elapidae,Aspidelaps,Aspidelaps scutatus,mature_seq (NO_SP),
NCBI|ASPSC_GHOC01000706.1_C513_331|Aspidelaps_scutatus,Elapidae,Elapidae,Aspidelaps,Aspidelaps scutatus,mature_seq (NO_SP),
NCBI|ASPSC_GHOC01000786.1_C477_220|Aspidelaps_scutatus,Elapidae,Elapidae,Aspidelaps,Aspidelaps scutatus,mature_seq (NO_SP),
NCBI|ASPSC_GHOC01000868.1_C426_214|Aspidelaps_scutatus,Elapidae,Elapidae,Aspidelaps,Aspidelaps scutatus,mature_seq (NO_SP),
NCBI|ASPSC_GHOC01001195.1_C374_120|Aspidelaps_scutatus,Elapidae,Elapidae,Aspidelaps,Aspidelaps scutatus,mature_seq (NO_SP),
NCBI|ASPSC_GHOC01001197.1_C406_203|Aspidelaps_scutatus,Elapidae,Elapidae,Aspidelaps,Aspidelaps scutatus,mature_seq (NO_SP),
NCBI|ASPSC_GHOC01001435.1_C398_174|Aspidelaps_scutatus,Elapidae,Elapidae,Aspidelaps,Aspidelaps scutatus,mature_seq (NO_SP),
NCBI|ASPSC_GHOC01001478.1_C367_110|Aspidelaps_scutatus,Elapidae,Elapidae,Aspidelaps,Aspidelaps scutatus,mature_seq (NO_SP),
NCBI|ASPSC_GHOC01002308.1_C243_1|Aspidelaps_scutatus,Elapidae,Elapidae,Aspidelaps,Aspidelaps scutatus,mature_seq (NO_SP),
SP|P19003|Aspidelaps_scutatus,Elapidae,Elapidae,Aspidelaps,Aspidelaps scutatus,mature_seq (NO_SP),
SP|P19004|Aspidelaps_scutatus,Elapidae,Elapidae,Aspidelaps,Aspidelaps scutatus,mature_seq (NO_SP),
SP|B2BRQ5|Austrelaps_labialis,Elapidae,Elapidae,Austrelaps,Austrelaps labialis,full_seq (SP),
SP|B2BRQ6|Austrelaps_labialis,Elapidae,Elapidae,Austrelaps,Austrelaps labialis,full_seq (SP),
TR|B2BRQ7|Austrelaps_labialis,Elapidae,Elapidae,Austrelaps,Austrelaps labialis,full_seq (SP),
TR|B2BRQ8|Austrelaps_labialis,Elapidae,Elapidae,Austrelaps,Austrelaps labialis,full_seq (SP),
TR|B2BRQ9|Austrelaps_labialis,Elapidae,Elapidae,Austrelaps,Austrelaps labialis,full_seq (SP),
TR|B2BRR0|Austrelaps_labialis,Elapidae,Elapidae,Austrelaps,Austrelaps labialis,full_seq (SP),
TR|B2BRR1|Austrelaps_labialis,Elapidae,Elapidae,Austrelaps,Austrelaps labialis,full_seq (SP),
TR|B2BRR3|Austrelaps_labialis,Elapidae,Elapidae,Austrelaps,Austrelaps labialis,full_seq (SP),
TR|B2BRR4|Austrelaps_labialis,Elapidae,Elapidae,Austrelaps,Austrelaps labialis,full_seq (SP),
TR|B2BRR5|Austrelaps_labialis,Elapidae,Elapidae,Austrelaps,Austrelaps labialis,full_seq (SP),
TR|B2BRR6|Austrelaps_labialis,Elapidae,Elapidae,Austrelaps,Austrelaps labialis,full_seq (SP),
TR|B2BRR7|Austrelaps_labialis,Elapidae,Elapidae,Austrelaps,Austrelaps labialis,full_seq (SP),
TR|B2BRR8|Austrelaps_labialis,Elapidae,Elapidae,Austrelaps,Austrelaps labialis,full_seq (SP),
TR|B2BRS1|Austrelaps_labialis,Elapidae,Elapidae,Austrelaps,Austrelaps labialis,full_seq (SP),
SP|A8S6B0|Austrelaps_superbus,Elapidae,Elapidae,Austrelaps,Austrelaps superbus,full_seq (SP),
SP|A8S6A4|Austrelaps_superbus,Elapidae,Elapidae,Austrelaps,Austrelaps superbus,full_seq (SP),
TR|R4FJH6|Brachyurophis_roperi,Elapidae,Elapidae,Brachyurophis,Brachyurophis roperi,full_seq (SP),
TR|R4G2Q9|Brachyurophis_roperi,Elapidae,Elapidae,Brachyurophis,Brachyurophis roperi,full_seq (SP),
TR|R4G2E5|Brachyurophis_roperi,Elapidae,Elapidae,Brachyurophis,Brachyurophis roperi,full_seq (SP),
TR|R4G7F4|Brachyurophis_roperi,Elapidae,Elapidae,Brachyurophis,Brachyurophis roperi,full_seq (SP),
TR|R4FJG1|Brachyurophis_roperi,Elapidae,Elapidae,Brachyurophis,Brachyurophis roperi,full_seq (SP),
TR|R4G2E3|Brachyurophis_roperi,Elapidae,Elapidae,Brachyurophis,Brachyurophis roperi,full_seq (SP),
TR|R4G2Q5|Brachyurophis_roperi,Elapidae,Elapidae,Brachyurophis,Brachyurophis roperi,full_seq (SP),
TR|R4G7F3|Brachyurophis_roperi,Elapidae,Elapidae,Brachyurophis,Brachyurophis roperi,full_seq (SP),
SP|A1IVR8|Bungarus_candidus,Elapidae,Elapidae,Bungarus,Bungarus candidus,mature_seq (NO_SP),
SP|A1IVR9|Bungarus_candidus,Elapidae,Elapidae,Bungarus,Bungarus candidus,mature_seq (NO_SP),
SP|P85140|Bungarus_candidus,Elapidae,Elapidae,Bungarus,Bungarus candidus,mature_seq (NO_SP),
SP|Q8AY55|Bungarus_candidus,Elapidae,Elapidae,Bungarus,Bungarus candidus,full_seq (SP),
SP|Q8AY56|Bungarus_candidus,Elapidae,Elapidae,Bungarus,Bungarus candidus,full_seq (SP),
SP|P81782|Bungarus_candidus,Elapidae,Elapidae,Bungarus,Bungarus candidus,mature_seq (NO_SP),
SP|P81783|Bungarus_candidus,Elapidae,Elapidae,Bungarus,Bungarus candidus,full_seq (SP),
SP|Q8AY49|Bungarus_candidus,Elapidae,Elapidae,Bungarus,Bungarus candidus,full_seq (SP),
SP|Q8AY50|Bungarus_candidus,Elapidae,Elapidae,Bungarus,Bungarus candidus,full_seq (SP),
SP|Q8AY51|Bungarus_candidus,Elapidae,Elapidae,Bungarus,Bungarus candidus,full_seq (SP),
SP|P83346|Bungarus_candidus,Elapidae,Elapidae,Bungarus,Bungarus candidus,mature_seq (NO_SP),
SP|Q8AY52|Bungarus_candidus,Elapidae,Elapidae,Bungarus,Bungarus candidus,full_seq (SP),
SP|Q8AY53|Bungarus_candidus,Elapidae,Elapidae,Bungarus,Bungarus candidus,full_seq (SP),
SP|P14534|Bungarus_fasciatus,Elapidae,Elapidae,Bungarus,Bungarus fasciatus,mature_seq (NO_SP),
SP|A2CKF6|Bungarus_fasciatus,Elapidae,Elapidae,Bungarus,Bungarus fasciatus,full_seq (SP),
SP|A2CKF7|Bungarus_fasciatus,Elapidae,Elapidae,Bungarus,Bungarus fasciatus,full_seq (SP),
SP|P0C552|Bungarus_fasciatus,Elapidae,Elapidae,Bungarus,Bungarus fasciatus,full_seq (SP),
SP|P0C553|Bungarus_fasciatus,Elapidae,Elapidae,Bungarus,Bungarus fasciatus,full_seq (SP),
SP|P0C554|Bungarus_fasciatus,Elapidae,Elapidae,Bungarus,Bungarus fasciatus,full_seq (SP),
SP|P0C555|Bungarus_fasciatus,Elapidae,Elapidae,Bungarus,Bungarus fasciatus,full_seq (SP),
SP|P10808|Bungarus_fasciatus,Elapidae,Elapidae,Bungarus,Bungarus fasciatus,mature_seq (NO_SP),
TR|D5J9Q3|Bungarus_flaviceps,Elapidae,Elapidae,Bungarus,Bungarus flaviceps,full_seq (SP),
TR|D5J9P6|Bungarus_flaviceps,Elapidae,Elapidae,Bungarus,Bungarus flaviceps,full_seq (SP),
TR|D5J9P8|Bungarus_flaviceps,Elapidae,Elapidae,Bungarus,Bungarus flaviceps,full_seq (SP),
TR|D5J9Q0|Bungarus_flaviceps,Elapidae,Elapidae,Bungarus,Bungarus flaviceps,full_seq (SP),
TR|D5J9P0|Bungarus_flaviceps,Elapidae,Elapidae,Bungarus,Bungarus flaviceps,full_seq (SP),
TR|D5J9P2|Bungarus_flaviceps,Elapidae,Elapidae,Bungarus,Bungarus flaviceps,full_seq (SP),
TR|D5J9P3|Bungarus_flaviceps,Elapidae,Elapidae,Bungarus,Bungarus flaviceps,full_seq (SP),
TR|D5J9P4|Bungarus_flaviceps,Elapidae,Elapidae,Bungarus,Bungarus flaviceps,full_seq (SP),
SP|P15815|Bungarus_flaviceps_flaviceps,Elapidae,Elapidae,Bungarus,Bungarus flaviceps flaviceps,mature_seq (NO_SP),
None|Bmul_scaffold27_G00003_t1|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
None|Bmul_scaffold35_G00001_t1|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
None|Bmul_scaffold7_G00815_t1|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
SP|O12961|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
SP|O12962|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
SP|P01398|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
SP|P15816|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
SP|P15817|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
SP|P60615|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
SP|P60616|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
None|Bmul_scaffold7_G00802_t1_mka|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
None|Bmul_scaffold9_G00036_t1|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
SP|Q8JFX7|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
SP|Q9PW19|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
SP|Q9YGH0|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
None|Bmul_scaffold6_G00174_t1|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
None|Bmul_scaffold7_G00790_t1|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
None|Bmul_scaffold7_G00803_t1_mka|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
None|Bmul_scaffold7_G00819_t1|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
SP|O12963|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
SP|P15818|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
SP|Q70WS8|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
SP|Q9YGH9|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
SP|Q9YGJ0|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
None|Bmul_scaffold7_G00718_t1|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
None|Bmul_scaffold7_G00807_t1_mka|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
None|Bmul_scaffold7_G00808_t1_mka|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
None|Bmul_scaffold7_G00810_t1|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
None|Bmul_scaffold7_G00817_t1|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
SP|P43445|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
SP|P79688|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
SP|Q800Y3|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
SP|Q9W727|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
SP|Q9YGI8|Bungarus_multicinctus,Elapidae,Elapidae,Bungarus,Bungarus multicinctus,full_seq (SP),
TR|R4G2F2|Cacophis_squamulosus,Elapidae,Elapidae,Cacophis,Cacophis squamulosus,full_seq (SP),
TR|R4FIB4|Cacophis_squamulosus,Elapidae,Elapidae,Cacophis,Cacophis squamulosus,full_seq (SP),
TR|R4FIB8|Cacophis_squamulosus,Elapidae,Elapidae,Cacophis,Cacophis squamulosus,full_seq (SP),
TR|R4G2S0|Cacophis_squamulosus,Elapidae,Elapidae,Cacophis,Cacophis squamulosus,full_seq (SP),
TR|R4G2S3|Cacophis_squamulosus,Elapidae,Elapidae,Cacophis,Cacophis squamulosus,full_seq (SP),
TR|A0A898IJN7|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
SP|P0DL82|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,mature_seq (NO_SP),
TR|A0A898IJU7|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IJX5|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IJZ2|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IK11|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IK81|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IKB4|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IKH0|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IKK6|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IKP8|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IKR2|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IKT9|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IKW1|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IKZ4|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IKZ5|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IL04|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IL27|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IL31|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IL54|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IL68|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IL83|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898ILD4|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898ILG1|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898ILL6|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898ILP2|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898ILQ5|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898ILU1|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IMW8|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IMX4|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IMZ3|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IN02|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IN07|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IN20|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IN21|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IN37|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IN41|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IN56|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IN63|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IN64|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IN70|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IN78|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IN79|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IN91|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IN96|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898INB4|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898INK0|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898INL0|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898INL5|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898INM0|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898INM6|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IPF7|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IPI9|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IPK1|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
TR|A0A898IPK7|Calliophis_bivirgatus,Elapidae,Elapidae,Calliophis,Calliophis bivirgatus,full_seq (SP),
